epoch,train_loss,val_macro_auc,val_macro_f1,val_kappa
1,0.884333,0.834279,0.577887,0.46179
2,0.414394,0.844535,0.609627,0.500064
3,0.275212,0.849209,0.604179,0.497621
4,0.191074,0.848097,0.624545,0.526192
5,0.150359,0.854394,0.617795,0.525317
6,0.104516,0.850148,0.637179,0.538696
7,0.091512,0.858833,0.623813,0.523387
8,0.110597,0.850808,0.627554,0.525469
9,0.069203,0.843482,0.60903,0.498038
10,0.10841,0.851508,0.623029,0.525122
11,0.048797,0.844688,0.621233,0.526793
12,0.045391,0.852135,0.620087,0.521469
13,0.02889,0.851171,0.640888,0.541712
14,0.074141,0.849858,0.636739,0.543488
15,0.056984,0.848456,0.635457,0.546663
1,0.884333,0.810567,0.561928,0.442832
2,0.414394,0.818285,0.586259,0.477882
3,0.275212,0.82492,0.586739,0.472995
4,0.191074,0.825576,0.603506,0.497279
5,0.150359,0.826579,0.602394,0.493145
6,0.104516,0.827955,0.600399,0.476812
7,0.091512,0.832058,0.612389,0.497513
8,0.110597,0.821928,0.599905,0.490672
9,0.069203,0.814779,0.574916,0.444793
10,0.10841,0.823324,0.588494,0.475364
11,0.048797,0.821506,0.593302,0.487563
12,0.045391,0.831509,0.597878,0.492037
13,0.02889,0.821782,0.608797,0.496317
14,0.074141,0.823323,0.59903,0.496998
15,0.056984,0.82289,0.611815,0.510074
